Date Times,Energy
Tue Jan 01 2013 00:00:00 GMT+1030 (Australian Central Daylight Time),-0.227
Tue Jan 01 2013 00:30:00 GMT+1030 (Australian Central Daylight Time),-0.24
Tue Jan 01 2013 01:00:00 GMT+1030 (Australian Central Daylight Time),-0.241
Tue Jan 01 2013 01:30:00 GMT+1030 (Australian Central Daylight Time),-0.24
Tue Jan 01 2013 02:00:00 GMT+1030 (Australian Central Daylight Time),-0.328
Tue Jan 01 2013 02:30:00 GMT+1030 (Australian Central Daylight Time),-0.272
Tue Jan 01 2013 03:00:00 GMT+1030 (Australian Central Daylight Time),-0.283
Tue Jan 01 2013 03:30:00 GMT+1030 (Australian Central Daylight Time),-0.295
Tue Jan 01 2013 04:00:00 GMT+1030 (Australian Central Daylight Time),-0.225
Tue Jan 01 2013 04:30:00 GMT+1030 (Australian Central Daylight Time),-0.305
Tue Jan 01 2013 05:00:00 GMT+1030 (Australian Central Daylight Time),-0.2282
Tue Jan 01 2013 05:30:00 GMT+1030 (Australian Central Daylight Time),-0.056495
Tue Jan 01 2013 06:00:00 GMT+1030 (Australian Central Daylight Time),0.1703
Tue Jan 01 2013 06:30:00 GMT+1030 (Australian Central Daylight Time),0.18039
Tue Jan 01 2013 07:00:00 GMT+1030 (Australian Central Daylight Time),0.45972
Tue Jan 01 2013 07:30:00 GMT+1030 (Australian Central Daylight Time),0.74058
Tue Jan 01 2013 08:00:00 GMT+1030 (Australian Central Daylight Time),1.403
Tue Jan 01 2013 08:30:00 GMT+1030 (Australian Central Daylight Time),2.3229
Tue Jan 01 2013 09:00:00 GMT+1030 (Australian Central Daylight Time),2.6236
Tue Jan 01 2013 09:30:00 GMT+1030 (Australian Central Daylight Time),2.8958
Tue Jan 01 2013 10:00:00 GMT+1030 (Australian Central Daylight Time),3.0593
Tue Jan 01 2013 10:30:00 GMT+1030 (Australian Central Daylight Time),3.249
Tue Jan 01 2013 11:00:00 GMT+1030 (Australian Central Daylight Time),3.3253
Tue Jan 01 2013 11:30:00 GMT+1030 (Australian Central Daylight Time),3.5639
Tue Jan 01 2013 12:00:00 GMT+1030 (Australian Central Daylight Time),3.2564
Tue Jan 01 2013 12:30:00 GMT+1030 (Australian Central Daylight Time),3.7722
Tue Jan 01 2013 13:00:00 GMT+1030 (Australian Central Daylight Time),2.2998
Tue Jan 01 2013 13:30:00 GMT+1030 (Australian Central Daylight Time),2.8012
Tue Jan 01 2013 14:00:00 GMT+1030 (Australian Central Daylight Time),1.148
Tue Jan 01 2013 14:30:00 GMT+1030 (Australian Central Daylight Time),1.0164
Tue Jan 01 2013 15:00:00 GMT+1030 (Australian Central Daylight Time),1.2082
